group_image,individual_image,px_to_cm
A00000051187,beetle_59.png,261
A00000051187,beetle_336.png,261
A00000051187,beetle_63.png,261
A00000051187,beetle_597.png,261
A00000051187,beetle_604.png,261
A00000033567,beetle_135.png,239
A00000033567,beetle_114.png,239
A00000033567,beetle_148.png,239
A00000033567,beetle_140.png,239
A00000033567,beetle_285.png,239
A00000033573,beetle_63.png,425
A00000033573,beetle_253.png,425
A00000033573,beetle_256.png,425
A00000033573,beetle_166.png,425
A00000033573,beetle_58.png,425
A00000041413,beetle_478.png,226
A00000041413,beetle_475.png,226
A00000041413,beetle_369.png,226
A00000041413,beetle_370.png,226
A00000046179,beetle_523.png,251
A00000046179,beetle_779.png,251
A00000046179,beetle_818.png,251
A00000046179,beetle_786.png,251
A00000046179,beetle_244.png,251
A00000044093,beetle_479.png,269
A00000044093,beetle_478.png,269
A00000044093,beetle_481.png,269
A00000044093,beetle_253.png,269
A00000044093,beetle_502.png,269
A00000051188,beetle_554.png,329
A00000051188,beetle_528.png,329
A00000051188,beetle_387.png,329
A00000051188,beetle_235.png,329
A00000051188,beetle_408.png,329
A00000033601,beetle_178.png,325
A00000033601,beetle_267.png,325
A00000033601,beetle_274.png,325
A00000033601,beetle_206.png,325
A00000033601,beetle_177.png,325
A00000033589,beetle_158.png,418
A00000033589,beetle_57.png,418
A00000033589,beetle_63.png,418
A00000033589,beetle_236.png,418
A00000033589,beetle_239.png,418
A00000051616,beetle_167.png,292
A00000051616,beetle_521.png,292
A00000051616,beetle_541.png,292
A00000051616,beetle_437.png,292
A00000051616,beetle_528.png,292
A00000040730,beetle_143.png,336
A00000040730,beetle_121.png,336
A00000040730,beetle_246.png,336
A00000040730,beetle_240.png,336
A00000040730,beetle_151.png,336
A00000034540,beetle_395.png,219
A00000034540,beetle_120.png,219
A00000034540,beetle_400.png,219
A00000034540,beetle_401.png,219
A00000034540,beetle_267.png,219
A00000051182,beetle_707.png,265
A00000051182,beetle_958.png,265
A00000051182,beetle_959.png,265
A00000051182,beetle_703.png,265
A00000051182,beetle_175.png,265
A00000051533,beetle_357.png,247
A00000051533,beetle_251.png,247
A00000051533,beetle_235.png,247
A00000051533,beetle_263.png,247
A00000051533,beetle_337.png,247
A00000051592,beetle_352.png,226
A00000051592,beetle_161.png,226
A00000051592,beetle_135.png,226
A00000051592,beetle_368.png,226
A00000051592,beetle_330.png,226
A00000049769,beetle_40.png,244
A00000049769,beetle_431.png,244
A00000049769,beetle_71.png,244
A00000049769,beetle_616.png,244
A00000049769,beetle_212.png,244
A00000012961,beetle_113.png,227
A00000012961,beetle_444.png,227
A00000012961,beetle_179.png,227
A00000012961,beetle_680.png,227
A00000012961,beetle_723.png,227
A00000040691,beetle_352.png,240
A00000040691,beetle_350.png,240
A00000040691,beetle_351.png,240
A00000040691,beetle_448.png,240
A00000040691,beetle_343.png,240
A00000051621,beetle_596.png,442
A00000051621,beetle_595.png,442
A00000051621,beetle_557.png,442
A00000051621,beetle_270.png,442
A00000051621,beetle_515.png,442
A00000050029,beetle_305.png,380
A00000050029,beetle_738.png,380
A00000050029,beetle_770.png,380
A00000050029,beetle_779.png,380
A00000050029,beetle_760.png,380
A00000069246,beetle_395.png,280
A00000069246,beetle_643.png,280
A00000069246,beetle_420.png,280
A00000069246,beetle_358.png,280
A00000069246,beetle_807.png,280
A00000012436,beetle_541.png,254
A00000012436,beetle_537.png,254
A00000012436,beetle_538.png,254
A00000012436,beetle_535.png,254
A00000012436,beetle_1257.png,254
A00000051617,beetle_59.png,334
A00000051617,beetle_150.png,334
A00000051617,beetle_57.png,334
A00000051617,beetle_129.png,334
A00000051617,beetle_336.png,334
A00000040692,beetle_314.png,240
A00000040692,beetle_315.png,240
A00000040692,beetle_316.png,240
A00000040692,beetle_539.png,240
A00000040692,beetle_320.png,240
A00000056861,beetle_120.png,299
A00000056861,beetle_518.png,299
A00000056861,beetle_337.png,299
A00000056861,beetle_200.png,299
A00000056861,beetle_495.png,299
A00000009164,beetle_440.png,337
A00000009164,beetle_1318.png,337
A00000009164,beetle_436.png,337
A00000046116,beetle_675.png,262
A00000046116,beetle_623.png,262
A00000046116,beetle_332.png,262
A00000046116,beetle_143.png,262
A00000046116,beetle_73.png,262
A00000051612,beetle_352.png,225
A00000051612,beetle_335.png,225
A00000051612,beetle_361.png,225
A00000051612,beetle_161.png,225
A00000051612,beetle_363.png,225
A00000041411,beetle_528.png,251
A00000041411,beetle_135.png,251
A00000041411,beetle_537.png,251
A00000041411,beetle_181.png,251
A00000041411,beetle_538.png,251
A00000050021,beetle_246.png,243
A00000050021,beetle_368.png,243
A00000050021,beetle_235.png,243
A00000050021,beetle_367.png,243
A00000050021,beetle_228.png,243
A00000049749,beetle_1138.png,357
A00000049749,beetle_1144.png,357
A00000049749,beetle_1162.png,357
A00000049749,beetle_1135.png,357
A00000049749,beetle_1050.png,357
A00000046090,beetle_275.png,246
A00000046090,beetle_410.png,246
A00000046090,beetle_267.png,246
A00000046090,beetle_264.png,246
A00000046090,beetle_268.png,246
A00000033672,beetle_158.png,418
A00000033672,beetle_314.png,418
A00000033672,beetle_143.png,418
A00000033672,beetle_315.png,418
A00000033672,beetle_114.png,418
A00000034569,beetle_211.png,231
A00000034569,beetle_707.png,231
A00000034569,beetle_472.png,231
A00000034569,beetle_237.png,231
A00000034569,beetle_467.png,231
A00000040703,beetle_395.png,242
A00000040703,beetle_675.png,242
A00000040703,beetle_410.png,242
A00000040703,beetle_401.png,242
A00000040703,beetle_274.png,242
A00000046096,beetle_135.png,285
A00000046096,beetle_391.png,285
A00000046096,beetle_584.png,285
A00000046096,beetle_379.png,285
A00000046096,beetle_581.png,285
A00000050040,beetle_350.png,336
A00000050040,beetle_361.png,336
A00000050040,beetle_481.png,336
A00000050040,beetle_351.png,336
A00000050040,beetle_343.png,336
A00000046117,beetle_388.png,239
A00000046117,beetle_125.png,239
A00000046117,beetle_100.png,239
A00000046117,beetle_392.png,239
A00000046117,beetle_695.png,239
A00000034555,beetle_206.png,232
A00000034555,beetle_311.png,232
A00000034555,beetle_65.png,232
A00000034555,beetle_64.png,232
A00000034555,beetle_338.png,232
A00000008914,beetle_294.png,240
A00000008914,beetle_420.png,240
A00000008914,beetle_541.png,240
A00000008914,beetle_429.png,240
A00000008914,beetle_293.png,240
A00000046154,beetle_596.png,271
A00000046154,beetle_107.png,271
A00000046154,beetle_282.png,271
A00000046154,beetle_571.png,271
A00000046154,beetle_269.png,271
A00000034570,beetle_237.png,444
A00000034570,beetle_190.png,444
A00000034570,beetle_222.png,444
A00000034570,beetle_225.png,444
A00000034570,beetle_214.png,444
A00000008920,beetle_305.png,240
A00000008920,beetle_183.png,240
A00000008920,beetle_595.png,240
A00000008920,beetle_310.png,240
A00000008920,beetle_459.png,240
A00000033588,beetle_167.png,325
A00000033588,beetle_400.png,325
A00000033588,beetle_251.png,325
A00000033588,beetle_420.png,325
A00000033588,beetle_282.png,325
A00000059783,beetle_521.png,271
A00000059783,beetle_687.png,271
A00000059783,beetle_695.png,271
A00000059783,beetle_239.png,271
A00000059783,beetle_723.png,271
A00000050033,beetle_351.png,273
A00000050033,beetle_565.png,273
A00000050033,beetle_557.png,273
A00000050033,beetle_239.png,273
A00000050033,beetle_355.png,273
