group_image,individual_image,px_to_cm
A00000051187,beetle_59.png,261
A00000051187,beetle_336.png,261
A00000051187,beetle_63.png,261
A00000051187,beetle_597.png,261
A00000051187,beetle_604.png,261
A00000051187,beetle_38.png,261
A00000051187,beetle_311.png,261
A00000051187,beetle_618.png,261
A00000051187,beetle_58.png,261
A00000051187,beetle_603.png,261
A00000051187,beetle_593.png,261
A00000051187,beetle_605.png,261
A00000051187,beetle_333.png,261
A00000051187,beetle_302.png,261
A00000033567,beetle_135.png,239
A00000033567,beetle_114.png,239
A00000033567,beetle_148.png,239
A00000033567,beetle_140.png,239
A00000033567,beetle_285.png,239
A00000033567,beetle_278.png,239
A00000033567,beetle_271.png,239
A00000033567,beetle_296.png,239
A00000033567,beetle_247.png,239
A00000033567,beetle_328.png,239
A00000033567,beetle_331.png,239
A00000033567,beetle_288.png,239
A00000033567,beetle_139.png,239
A00000033567,beetle_138.png,239
A00000033567,beetle_327.png,239
A00000033567,beetle_290.png,239
A00000033573,beetle_63.png,425
A00000033573,beetle_253.png,425
A00000033573,beetle_256.png,425
A00000033573,beetle_166.png,425
A00000033573,beetle_58.png,425
A00000033573,beetle_76.png,425
A00000033573,beetle_162.png,425
A00000033573,beetle_149.png,425
A00000033573,beetle_255.png,425
A00000033573,beetle_254.png,425
A00000041413,beetle_478.png,226
A00000041413,beetle_475.png,226
A00000041413,beetle_369.png,226
A00000041413,beetle_370.png,226
A00000046179,beetle_523.png,251
A00000046179,beetle_779.png,251
A00000046179,beetle_818.png,251
A00000046179,beetle_786.png,251
A00000046179,beetle_244.png,251
A00000046179,beetle_768.png,251
A00000046179,beetle_232.png,251
A00000046179,beetle_816.png,251
A00000046179,beetle_787.png,251
A00000046179,beetle_247.png,251
A00000046179,beetle_782.png,251
A00000046179,beetle_524.png,251
A00000044093,beetle_479.png,269
A00000051187,beetle_59.png,261
A00000051187,beetle_336.png,261
A00000051187,beetle_63.png,261
A00000051187,beetle_597.png,261
A00000051187,beetle_604.png,261
A00000051187,beetle_38.png,261
A00000051187,beetle_311.png,261
A00000051187,beetle_618.png,261
A00000051187,beetle_58.png,261
A00000051187,beetle_603.png,261
A00000051187,beetle_593.png,261
A00000051187,beetle_605.png,261
A00000051187,beetle_333.png,261
A00000051187,beetle_302.png,261
A00000033567,beetle_135.png,239
A00000033567,beetle_114.png,239
A00000033567,beetle_148.png,239
A00000033567,beetle_140.png,239
A00000033567,beetle_285.png,239
A00000033567,beetle_278.png,239
A00000033567,beetle_271.png,239
A00000033567,beetle_296.png,239
A00000033567,beetle_247.png,239
A00000033567,beetle_328.png,239
A00000033567,beetle_331.png,239
A00000033567,beetle_288.png,239
A00000033567,beetle_139.png,239
A00000033567,beetle_138.png,239
A00000033567,beetle_327.png,239
A00000033567,beetle_290.png,239
A00000033573,beetle_63.png,425
A00000033573,beetle_253.png,425
A00000033573,beetle_256.png,425
A00000033573,beetle_166.png,425
A00000033573,beetle_58.png,425
A00000033573,beetle_76.png,425
A00000033573,beetle_162.png,425
A00000033573,beetle_149.png,425
A00000033573,beetle_255.png,425
A00000033573,beetle_254.png,425
A00000041413,beetle_478.png,226
A00000041413,beetle_475.png,226
A00000041413,beetle_369.png,226
A00000041413,beetle_370.png,226
A00000046179,beetle_523.png,251
A00000046179,beetle_779.png,251
A00000046179,beetle_818.png,251
A00000046179,beetle_786.png,251
A00000046179,beetle_244.png,251
A00000046179,beetle_768.png,251
A00000046179,beetle_232.png,251
A00000046179,beetle_816.png,251
A00000046179,beetle_787.png,251
A00000046179,beetle_247.png,251
A00000046179,beetle_782.png,251
A00000046179,beetle_524.png,251
A00000044093,beetle_479.png,269
A00000044093,beetle_478.png,269
A00000044093,beetle_481.png,269
A00000044093,beetle_253.png,269
A00000044093,beetle_502.png,269
A00000044093,beetle_69.png,269
A00000044093,beetle_477.png,269
A00000044093,beetle_64.png,269
A00000044093,beetle_500.png,269
A00000044093,beetle_83.png,269
A00000044093,beetle_480.png,269
A00000044093,beetle_219.png,269
A00000044093,beetle_259.png,269
A00000044093,beetle_254.png,269
A00000051188,beetle_554.png,329
A00000051188,beetle_528.png,329
A00000051188,beetle_387.png,329
A00000051188,beetle_235.png,329
A00000051188,beetle_408.png,329
A00000051188,beetle_549.png,329
A00000051188,beetle_404.png,329
A00000051188,beetle_216.png,329
A00000051188,beetle_543.png,329
A00000051188,beetle_407.png,329
A00000033601,beetle_178.png,325
A00000033601,beetle_267.png,325
A00000033601,beetle_274.png,325
A00000033601,beetle_206.png,325
A00000033601,beetle_177.png,325
A00000033601,beetle_565.png,325
A00000033601,beetle_391.png,325
A00000033601,beetle_270.png,325
A00000033601,beetle_175.png,325
A00000033601,beetle_412.png,325
A00000033601,beetle_273.png,325
A00000033601,beetle_56.png,325
A00000033601,beetle_55.png,325
A00000033601,beetle_563.png,325
A00000033601,beetle_240.png,325
A00000033601,beetle_564.png,325
A00000033601,beetle_65.png,325
A00000033601,beetle_404.png,325
A00000033601,beetle_61.png,325
A00000033601,beetle_247.png,325
A00000033601,beetle_419.png,325
A00000033601,beetle_427.png,325
A00000033601,beetle_68.png,325
A00000033601,beetle_62.png,325
A00000033601,beetle_416.png,325
A00000033601,beetle_397.png,325
A00000033601,beetle_207.png,325
A00000033601,beetle_192.png,325
A00000033601,beetle_197.png,325
A00000033601,beetle_272.png,325
A00000033589,beetle_158.png,418
A00000033589,beetle_57.png,418
A00000033589,beetle_63.png,418
A00000033589,beetle_236.png,418
A00000033589,beetle_239.png,418
A00000033589,beetle_160.png,418
A00000033589,beetle_58.png,418
A00000033589,beetle_154.png,418
A00000033589,beetle_144.png,418
A00000033589,beetle_238.png,418
A00000033589,beetle_233.png,418
A00000051616,beetle_167.png,292
A00000051616,beetle_521.png,292
A00000051616,beetle_541.png,292
A00000051616,beetle_437.png,292
A00000051616,beetle_528.png,292
A00000051616,beetle_455.png,292
A00000051616,beetle_256.png,292
A00000051616,beetle_270.png,292
A00000051616,beetle_363.png,292
A00000051616,beetle_448.png,292
A00000051616,beetle_368.png,292
A00000051616,beetle_443.png,292
A00000051616,beetle_546.png,292
A00000051616,beetle_366.png,292
A00000051616,beetle_444.png,292
A00000051616,beetle_454.png,292
A00000051616,beetle_263.png,292
A00000051616,beetle_589.png,292
A00000051616,beetle_592.png,292
A00000051616,beetle_165.png,292
A00000051616,beetle_257.png,292
A00000051616,beetle_172.png,292
A00000051616,beetle_591.png,292
A00000051616,beetle_522.png,292
A00000051616,beetle_171.png,292
A00000051616,beetle_539.png,292
A00000051616,beetle_375.png,292
A00000051616,beetle_581.png,292
A00000051616,beetle_514.png,292
A00000051616,beetle_540.png,292
A00000051616,beetle_242.png,292
A00000051616,beetle_524.png,292
A00000051616,beetle_372.png,292
A00000051616,beetle_347.png,292
A00000051616,beetle_450.png,292
A00000051616,beetle_577.png,292
A00000051616,beetle_259.png,292
A00000051616,beetle_233.png,292
A00000051616,beetle_586.png,292
A00000051616,beetle_170.png,292
A00000051616,beetle_243.png,292
A00000051616,beetle_370.png,292
A00000051616,beetle_447.png,292
A00000040730,beetle_143.png,336
A00000040730,beetle_121.png,336
A00000040730,beetle_246.png,336
A00000040730,beetle_240.png,336
A00000040730,beetle_151.png,336
A00000040730,beetle_65.png,336
A00000040730,beetle_142.png,336
